t,h,_entailment,_id,_similarity
O homem está conversando no aparelho de telefone,O homem está conversando no telefone,Entailment,453,4.8
Uma batata está sendo fatiada pelo homem,O homem está fatiando a batata,Entailment,454,4.9
Um homem está segurando um aparelho eletrônico,Uma pessoa está segurando um dispositivo eletrônico,Entailment,455,4.5
Um homem está escalando uma parede rochosa e outro homem está segurando uma corda,Um homem está escalando uma parede feita de pedra e outro homem está segurando a corda,Entailment,456,4.9
O homem está tocando uma harpa,Um homem está tocando uma harpa,Entailment,457,5
Uma aeronave está decolando,Um avião está decolando,Entailment,458,4.8
Um homem está andando de cavalo na praia,Um cara está montando um cavalo,Entailment,459,4.7
Um motociclista está usando um equipamento que é preto,"Uma pessoa, que está andando de bicicleta, está usando equipamento que é preto",Entailment,460,4.7
"Um homem está parado ao entardecer em uma estrada quase intocada coberta de neve, que é iluminada apenas por faróis","Um homem está parado ao entardecer em uma estrada nevada quase intocada, que é iluminada apenas por faróis",Entailment,461,4.9
O peixe está sendo frito por uma mulher,Uma mulher está fritando peixe,Entailment,462,5
Um filhote de gato está brincando com uma corda azul de brinquedo,O gato pequeno está brincando com um brinquedo,Entailment,463,4.6
Uma pessoa está cortando uma cebola,Uma pessoa está fatiando uma cebola,Entailment,464,4.8
Jogadores de futebol de campo estão chutando uma bola de futebol de campo no gol,Um jogador de futebol está marcando um gol,Entailment,465,4.3
Um homem está de pé em um jipe ​​preto em um morro de terra,Um homem está de pé em um morro de terra próximo a um jipe preto,Entailment,466,3.6
"Os jóqueis estão correndo a cavalos no campo, que é completamente verde","Os jóqueis estão montando cavalos no campo, que é completamente verde",Entailment,467,4.7
Um tigre está perambulando sem rumo,Um tigre está andando sem rumo,Entailment,468,5
Um lêmure está comendo rapidamente,Um lêmure está comendo,Entailment,469,4.8
Um homem está passando manteiga em um pedaço de pão,Um homem está passando manteiga em uma fatia de pão,Entailment,470,4.6
Os espetos estão sendo colocados em uma prateleira por uma mulher,Uma mulher está colocando espetos em uma prateleira,Entailment,471,4.9
Um homem está saindo da água,Uma pessoa está saindo da água,Entailment,472,4.7
Uma mulher está disparando um rifle,Uma mulher está disparando uma arma,Entailment,473,4.2
Os homens estão lutando com os punhos em um ringue,Os homens estão lutando com seus punhos em um ringue,Entailment,474,4.8
Pedestres e carros estão se movendo por um engarrafamento em uma cidade grande,Algumas pessoas e carros estão em uma rua lotada,Entailment,475,3.9
Uma pizza está sendo comida por um homem,Um homem está comendo alguma comida,Entailment,476,4.4
Uma mulher está cortando brócolis,Uma mulher está cortando vegetais,Entailment,477,4.2
Uma mulher está praticando com uma flauta,Uma mulher está tocando flauta,Entailment,478,4.485
A mulher está pegando e segurando um bebê canguru,Uma mulher está pegando e segurando um bebê canguru em seus braços,Entailment,479,4.6
Um homem está de pé no topo de um telhado e tocando um violino,Um homem está em pé no topo do telhado e está tocando um violino,Entailment,480,4.7
Um homem está cortando um peixe,Um peixe está sendo cortado por um homem,Entailment,481,4.9
"Uma mulher está tirando uma capa, que é muito grande, e revelando um vestido extravagante","Uma mulher está tirando uma capa, que é muito grande, e revelando roupas extravagantes",Entailment,482,4.3
Uma mulher está cortando uma cenoura,Uma mulher está fatiando uma cenoura,Entailment,483,4.9
Adultos e crianças estão de pé e brincando na frente de uma escada perto de uma área arborizada,Adultos e crianças de pé estão brincando em frente de degraus próximos a uma área arborizada,Entailment,484,4.8
Uma pessoa está sendo chutada por um macaco,Um macaco está chutando uma pessoa,Entailment,485,4.9
Dois caras estão sentados em volta de uma mesa e segurando cervejas em suas mãos,Dois homens estão sentados em volta de uma mesa segurando cervejas em suas mãos,Entailment,486,4.6
Um homem está vestindo uma camisa azul de manga longa e jeans e está descendo uma rua em um monociclo,Um homem está usando uma camisa azul de mangas compridas e um jeans e está andando de monociclo em uma rua,Entailment,487,4.9
Um menino está sendo derrubado na água pelo cachorro,O cachorro está empurrando um menino para a água,Entailment,488,4.5
"Um cachorro, que é pequenino, está brincando incansavelmente na grama verde","Um cachorro, que é pequeno, está brincando na grama verde",Entailment,489,4.7
Um gato pequenino está abrindo um armário de plástico com suas patas e pulando dentro,Um gato está abrindo uma gaveta e escalando para dentro,Entailment,490,4.3
O homem está jogando um jogo no gramado,O homem está jogando um jogo na grama,Entailment,491,4.2
Um piano está sendo tocado por alguém,Alguém está tocando um piano,Entailment,492,5
Um homem de chapéu roxo está escalando uma parede rochosa com as próprias mãos,Uma parede rochosa é escalada por um homem de chapéu roxo com as mãos nuas,Entailment,493,4.9
Um homem está chutando uma bola de futebol de campo,Um homem está chutando uma bola,Entailment,494,4.8
Uma criança jovem está vestindo um casaco branco e jogando um jogo,"Uma criança, que é jovem, está usando um casaco branco e jogando um jogo",Entailment,495,4.9
Uma mulher está descascando uma batata,Uma mulher está tirando a casca de uma batata,Entailment,496,4.9
Uma pessoa de topless com uma mochila está em frente a uma pilha de pedras e nuvens estão ao fundo,"Uma pessoa, que está de topless e com uma mochila, está em frente a uma pilha de pedras e nuvens estão ao fundo",Entailment,497,5
Um menino sorridente de roupas de inverno está acenando suas mãos enluvadas do lado de fora de um prédio na neve,Uma criança jovem vestida para o clima frio está de pé lá fora,Entailment,498,4.1
Um homem está pegando uma árvore,Um homem está carregando uma árvore,Entailment,499,4.3
Um jovem casal está deitado na cama,Um casal está deitado junto numa cama,Entailment,500,4.5
As pessoas estão aglomeradas ao redor de uma fogueira à noite,Várias pessoas estão sentadas ao redor de uma fogueira à noite,Entailment,501,4.6
Um jovem homem com cabelos castanhos e óculos escuros está sentado em frente a algumas latas de refrigerante,Um homem jovem com cabelos castanhos e óculos de sol está sentado na frente de algumas latas de refrigerante,Entailment,502,5
Um palhaço está cantando,Uma canção está sendo tocada por um palhaço,Entailment,503,4.8
Um tigre está caminhando ao redor,Um tigre está perambulando ao redor,Entailment,504,5
Uma menina de uniforme está tocando flauta com uma banda marcial,Uma menina em uma banda está tocando a flauta,Entailment,505,4.5
Um cachorro amarelo está correndo por um caminho arenoso,Um cachorro amarelo está correndo por um caminho coberto de areia,Entailment,506,4.7
Uma mulher fazendo topless está sendo manchada com uma substância marrom e a multidão está borrada ao fundo,Uma mulher está sendo lambuzada com uma substância marrom e uma multidão embaçada está ao fundo,Entailment,507,4.35
Uma pessoa está jogando um gato no teto,Um gato é jogado no teto por uma pessoa,Entailment,508,5
Três crianças estão correndo pela encosta gramada,Três crianças estão correndo morro abaixo,Entailment,509,4.3
Uma pessoa jogando futebol está correndo até um juiz que carrega uma bola de futebol,Um jogador de futebol está passando por um juiz que carrega uma bola de futebol,Entailment,510,4.5
Um filhote de gato está bebendo leite fresco,Um pequeno gato está bebendo leite fresco,Entailment,511,4.465
Diferentes times estão jogando futebol no campo,Times diferentes estão jogando futebol no campo,Entailment,512,4.6
Uma criança jovem está de pé em frente a algumas árvores,"Uma criança, que parece jovem, está em pé em frente a algumas árvores",Entailment,513,4.9
Duas crianças estão empurrando um crocodilo inflável em uma piscina,Um crocodilo inflável está sendo empurrado por duas crianças em uma piscina,Entailment,514,5
Um homem está lendo o e-mail,Alguém está lendo o e-mail,Entailment,515,4.6
O homem sem camisa com shorts listrados e óculos de sol está de pé perto de um homem com uma camisa branca e óculos de sol,O homem sem camisa de shorts listrados e óculos escuros está parado perto de uma pessoa de camisa branca e óculos escuros,Entailment,516,4.5
Uma tatuagem está sendo desenhada na mão de um adolescente pela mulher de suéter branco,A mulher com um suéter branco está fazendo uma tatuagem na mão de um adolescente,Entailment,517,4.9
A mulher está pegando um bebê canguru,A mulher está pegando o canguru,Entailment,518,4.8
Um surfista está pegando uma onda grande,O surfista está surfando uma grande onda,Entailment,519,5
Uma mulher está fritando algo em uma frigideira,Uma mulher está cozinhando algo em uma frigideira,Entailment,520,4.4
Um homem está tocando um violão acústico,Um homem está tocando um violão que é acústico,Entailment,521,4.9
Um grupo de meninas asiáticas estão de pé juntas,O grupo de meninas asiáticas está parado junto,Entailment,522,4.9
Uma pessoa está fatiando cogumelos,Uma pessoa está cortando alguns cogumelos,Entailment,523,4.7
"Uma mulher está pegando e segurando um canguru, que é um bebê, nos braços",A mulher está pegando e segurando um bebê canguru,Entailment,524,4.7
Um gato está deslizando de ponta cabeça para baixo de um sofá,Um animal está rastejando sob uma peça de mobiliário,Entailment,525,4
O homem está fatiando um tomate,Um homem está fatiando um tomate,Entailment,526,4.9
Um homem está andando a cavalo,Um cavalo está sendo montado por um homem,Entailment,527,4.8
Um homem e um menino estão de pé debaixo de umas escadas que estão ao ar livre,"O homem e o menino estão de pé embaixo da escada, que é ao ar livre",Entailment,528,5
Um cavalo está sendo montado em um riacho por um homem,O homem está montando um cavalo perto de um riacho,Entailment,529,4.6
Um homem está tocando intensamente um violão,O homem está intensamente tocando o violão,Entailment,530,4.8
O homem está fatiando batatas,O homem está fatiando algumas batatas,Entailment,531,5
Um homem está andando perigosamente de moto por uma cidade,Um homem está andando de moto,Entailment,532,4.2
A pessoa está voando pelo ar na bicicleta,A pessoa está voando pelo ar em uma bicicleta,Entailment,533,4.8
"Um cachorro, que tem pelagem preta, está correndo na grama e sua língua está saindo para fora da boca",Um cachorro preto está correndo na grama e sua língua está saindo para fora da boca,Entailment,534,4.8
Duas pessoas estão se beijando apaixonadamente perto de uma multidão,Duas pessoas estão se beijando perto de uma multidão,Entailment,535,4.4
"Os jóqueis estão montando cavalos no campo, que é completamente verde","Os jóqueis estão correndo a cavalos no campo, que é completamente verde",Entailment,536,4.7
Gente está cantando,Algumas pessoas estão cantando,Entailment,537,4.9
Um homem está andando de moto,Este homem está andando de moto,Entailment,538,4.8
Um cachorro caramelo sujo está rolando na sujeira e olhando diretamente para a câmera,Um cachorro está brincando no chão,Entailment,539,4
Um cachorro castanho e branco está pulando na calçada,Um animal castanho e branco está pulando na calçada,Entailment,540,4.5
Uma criança loira está descendo um escorregador e jogando os braços para cima,Uma criança loira está descendo um escorregador e erguendo os braços,Entailment,541,4.9
Um homem está realizando um truque em uma prancha de surf na água,Uma pessoa está realizando um truque em uma prancha de surfe na água,Entailment,542,4.8
Uma mulher está usando uma máquina de costura,Uma mulher está costurando com uma máquina,Entailment,543,4.9
Uma pessoa está cortando cogumelos com uma faca,Uma pessoa está fatiando cogumelos,Entailment,544,4.7
A pimenta está sendo fatiada por uma mulher com uma faca,A mulher com uma faca está fatiando uma pimenta,Entailment,545,5
O homem está andando alegremente na floresta,O homem está escalando no bosque,Entailment,546,4.8
O leão está cansadamente andando ansiosamente na jaula,Um leão está andando lentamente,Entailment,547,4.4
Um menino pequeno está orgulhosamente usando uma camisa de futebol verde e está correndo na grama,Um menino pequeno está vestindo uma camisa de futebol verde e correndo na grama,Entailment,548,4.5
Um homem velho e uma mulher estão andando de bicicleta no calçadão perto do oceano,Um homem mais velho e uma mulher estão andando de bicicleta no calçadão perto da água,Entailment,549,4.9
Uma ave marinha está voando lentamente sobre algumas rochas,Uma ave marinha está voando sobre algumas rochas,Entailment,550,4.7
As cenouras estão sendo cortadas por uma mulher,Uma mulher está fatiando cenouras,Entailment,551,5
O grupo de meninas asiáticas está parado junto,Um grupo de meninas asiáticas estão de pé juntas,Entailment,552,4.9
Um menino está alegremente tocando um piano,Um menino está tocando animadamente o piano,Entailment,553,5
Um homem está usando uma faca para abrir uma caixa,Um homem está abrindo uma caixa com uma faca,Entailment,554,4.835
A pessoa está voando pelo ar em uma bicicleta,A pessoa está voando pelo ar na bicicleta,Entailment,555,4.8
Um ciclista frio está comemorando,Alguma coisa está sendo celebrada por um ciclista frio,Entailment,556,4.6
Um homem está em um estacionamento e está jogando tênis contra uma grande parede,Um homem solitário está em um estacionamento e está jogando tênis contra um grande muro,Entailment,557,4.7
Um homem velho com uma barba que é cinza está andando de bicicleta,Um homem velho com uma barba grisalha está andando de bicicleta,Entailment,558,5
Um pequenino porquinho-da-índia está roendo e comendo um pedaço de cenoura no chão,Um porquinho-da-índia está comendo uma cenoura,Entailment,559,4.6
Um homem está tocando o violão,O homem está tocando o violão,Entailment,560,5
Um gato está brincando em um ventilador de teto em movimento,Um gato está balançando em um ventilador,Entailment,561,4.635
As pessoas estão andando,Algumas pessoas estão andando,Entailment,562,4.7
A noiva e o noivo estão partindo após o casamento,A noiva e o noivo estão saindo depois do casamento,Entailment,563,4.8
Um cachorro castanho e preto está correndo pelas folhas,Algum cachorro castanho e preto está correndo pelas folhas,Entailment,564,4.8
Dois homens estão de pé juntos e um está olhando através de binóculos,Dois homens estão olhando para fora e binóculos estão sendo segurados por um deles,Entailment,565,4
O cachorro preto está andando pela grama alta,O cachorro preto não está correndo através da grama,Entailment,566,4.4
Um monte de caras está na costa,Um monte de pessoas está na costa,Entailment,567,4.3
Um cachorro branco está em pé em uma encosta gramada,Um cachorro branco está parado em um morro coberto de grama,Entailment,568,5
Uma senhora está misturando uma mistura de carne em uma tigela,A mulher está mexendo carne em uma tigela,Entailment,569,4.7
Um homem está fazendo um truque de bicicleta em pleno ar,O ciclista está realizando um truque no ar,Entailment,570,4.4
Um cachorro com pelo dourado está na água,Um cachorro com pelagem dourada está na água,Entailment,571,4.9
Duas jovens meninas pequenas estão sentadas no chão,Duas meninas estão sentadas no chão,Entailment,572,4.4
Uma pessoa está perigosamente de pé sobre gelo branco,A pessoa está de pé sobre o gelo branco,Entailment,573,4.3
O cachorro grande está caminhando lá fora e está carregando um brinquedo colorido na boca,Um grande cachorro está andando do lado de fora e segurando um brinquedo colorido em sua boca,Entailment,574,4.8
Um ciclista está segurando uma bicicleta sobre sua cabeça em um grupo de pessoas,Uma bicicleta está sendo segurada por um ciclista sobre sua cabeça em um grupo de pessoas,Entailment,575,4.6
Uma mulher está fritando comida,A comida está sendo frita por uma mulher,Entailment,576,4.8
Uma senhora nua está andando na frente de diversas pessoas com pintura corporal,Uma senhora nua está andando em frente a uma multidão com pintura corporal,Entailment,577,4.7
Duas pessoas de tamanho grande estão sentando no banco do parque e elas têm uma garrafa de soda entre elas,Duas pessoas grandes estão sentadas em um banco do parque e elas têm uma garrafa de refrigerante entre elas,Entailment,578,4.7
Uma batata está sendo descascada por uma mulher,Uma mulher está descascando uma batata,Entailment,579,4.9
O cachorro preto está andando pela grama alta,Um cachorro preto está andando por alguma grama alta,Entailment,580,4.9
Este homem está andando de moto,Um homem está andando de moto,Entailment,581,4.8
Uma mulher está disparando em um alvo de prática,Uma mulher está atirando em um alvo de prática,Entailment,582,4.8
Duas crianças estão olhando por um parapeito enferrujado,"Duas crianças estão espiando por cima de uma borda, que está enferrujada",Entailment,583,4.9
Alguns nadadores estão competindo em um lago,Nadadores estão competindo em um lago,Entailment,584,4.8
As pessoas estão sentadas sem rumo em um banco em frente a um restaurante,As pessoas estão sentadas em um banco em frente a um restaurante,Entailment,585,4.4
Alguns homens estão correndo em uma corrida,Os homens estão correndo uma corrida,Entailment,586,4.6
Uma mulher está cortando uma cebola,Uma mulher não está cortando carne,Entailment,587,3.3
Um homem está cortando uma corda com uma espada,Um homem está cortando um cordão com uma espada,Entailment,588,4.5
Pessoas estão em uma praia cheia de areia perto do oceano e estão curtindo um dia cheio de sol,Pessoas estão em uma praia cheia de areia perto do oceano e estão curtindo o dia ensolarado,Entailment,589,4.8
Uma pessoa está fatiando algumas cebolas,Algumas cebolas estão sendo cortadas por uma pessoa,Entailment,590,4.9
A mulher está cozinhando ovos,A mulher está cozinhando algo,Entailment,591,4.4
Um cachorro grande está escalando selvagemente um morro íngreme,Um cachorro grande está subindo um morro íngreme,Entailment,592,4.5
A mulher está fatiando uma cebola com uma faca,Uma cebola está sendo fatiada com uma faca pela mulher,Entailment,593,4.8
O homem está montando um touro mecânico,O homem está montando um touro que é mecânico,Entailment,594,4.8
Uma menina está acordando,Uma criança está acordando,Entailment,595,4.4
"Um porquinho-da-índia, que é pequenino, está roendo e comendo um pedaço de cenoura no chão",Um porquinho-da-índia está comendo uma cenoura,Entailment,596,4.4
Um homem está almoçando,Um homem está comendo,Entailment,597,4.5
Um homem e uma mulher estão andando juntos pelo bosque,Um homem e uma mulher andam juntos através de áreas arborizadas,Entailment,598,4.9
Um pequenino cachorro está deitado em uma cama,Um cachorro pequenino está deitado na cama,Entailment,599,5
Alguém está tocando piano,Uma pessoa está tocando um teclado,Entailment,600,3.8
Um menino loiro de verde está sentado em um balanço,Uma criança loira de verde está sentada em um balanço,Entailment,601,4.8
O grupo de homens está jogando rúgbi em um monte enlameado,Alguns homens estão jogando rúgbi,Entailment,602,4.4
Uma mulher com uma camisa preta está sentada ao lado de uma sacola verde fluorescente,Uma mulher de camisa tingida de preto está sentada ao lado de uma sacola verde fluorescente,Entailment,603,4.9
Dois cachorros no gramado estão brincando com um brinquedo de plástico,Dois cachorros na grama estão brincando com um brinquedo de plástico,Entailment,604,4.9
O filhote de cachorro está brincando com um recipiente feito de plástico,O cachorro está brincando com um recipiente plástico,Entailment,605,4.6
Um homem em uma bicicleta está andando em uma roda só,Um homem está andando de bicicleta com uma roda só,Entailment,606,4.8
O homem está colocando frango no recipiente,Um homem está colocando comida em um recipiente,Entailment,607,4.6
Um homem talentoso está tocando violão,Um homem está tocando um violão,Entailment,608,4.5
As cenouras estão sendo raladas por uma mulher,Uma mulher está ralando cenouras,Entailment,609,5
Um homem está dirigindo um carro,Um carro está sendo dirigido por um homem,Entailment,610,4.8
Um cachorro branco está parado em cima de folhas caídas,Um cachorro branco está parado sobre as folhas no chão,Entailment,611,4.5
Os corredores estão correndo em uma competição,Os corredores estão competindo em uma corrida,Entailment,612,4.5
Um homem está ligando o micro-ondas,Os botões de um micro-ondas estão sendo apertados por um homem,Entailment,613,4.2
Uma banda está tocando em um palco,Uma banda está apresentando-se no palco,Entailment,614,4.9
Dois meninos estão no sofá jogando jogos na televisão,Dois meninos estão jogando um videogame,Entailment,615,4
Uma vaca está comendo grama,Uma vaca não está comendo feno,Entailment,616,3.65
Um menino de rosto gordinho está usando óculos escuros,Um menino de rosto gordinho está usando óculos de sol,Entailment,617,4.5
A senhora está quebrando um ovo em uma tigela,A senhora está quebrando um ovo em um prato,Entailment,618,4.5
Um homem velho está sentado em um campo,Um homem está sentado em um campo,Entailment,619,4.4
Uma menina jovem está de pé em uma perna com dificuldade,Uma jovem menina está de pé em uma perna,Entailment,620,4.2
Um cachorro está empurrando uma criança pequena dentro de uma poça de chuva,Um cachorro está empurrando uma criança pequena para uma poça de chuva,Entailment,621,4.9
Duas crianças e um adulto estão em pé próximos a um galho de árvore,Três pessoas estão paradas ao lado de um galho de árvore,Entailment,622,4.6
Uma mulher está batucando seus dedos em uma escrivaninha,Uma mulher está batucando seus dedos,Entailment,623,4.2
A bateria está sendo tocada pelo homem,Um homem está tocando a bateria,Entailment,624,4.8
Um pouco de bambu está sendo comido por um urso panda,O panda está comendo bambu,Entailment,625,4.9
A mulher está rachando ovos em uma tigela,A senhora está quebrando ovos crus na tigela,Entailment,626,4.7
Os vegetais estão sendo fatiados por um homem,O homem está fatiando vegetais,Entailment,627,4.9
Três homens e uma mulher estão posando para uma foto,Uma mulher e três homens estão posando para a foto,Entailment,628,5
Os adultos e as crianças estão sendo agrupados perto de assentos ao ar livre,Os adultos e crianças estão sendo reunidos perto de assentos ao ar livre,Entailment,629,5
Um ovo está sendo rachado em uma tigela por uma mulher,Uma mulher está quebrando um ovo em uma tigela,Entailment,630,5
Um menino está falando com uma folha,Um homem jovem está falando com uma folha,Entailment,631,4.4
Alguns homens estão jogando rúgbi,Rúgbi está sendo jogado por alguns homens,Entailment,632,5
Alguma coisa está sendo frita por uma mulher,Uma mulher está fritando algo,Entailment,633,4.8
Uma mulher está batucando seus dedos em uma escrivaninha,Uma mulher está batucando seus dedos em uma mesa,Entailment,634,4.2
Uma jovem menina está olhando para uma mulher de fantasia,Uma menina pequena está olhando para uma mulher de fantasia,Entailment,635,4.7
Uma jovem senhora está medindo o tornozelo de outra mulher,A senhora está medindo o tornozelo de outra mulher,Entailment,636,4.7
Alguns homens em uma competição estão correndo no exterior,Alguns homens em uma competição estão correndo ao ar livre,Entailment,637,4.1
Um grupo de pessoas está perto do oceano,Uma multidão de pessoas está perto da água,Entailment,638,4.3
A pessoa que está praticando snowboard pula pelo ar,Uma pessoa que está praticando snowboard está pulando no ar,Entailment,639,5
Um cachorro grande e um cachorro pequenino estão parados ao lado do balcão da cozinha e estão farejando,Um cachorro grande e um cachorro pequenino estão parados ao lado do balcão da cozinha e estão investigando,Entailment,640,4.3
Um homem está tocando piano,O piano está sendo tocado por um homem,Entailment,641,4.9
Uma pessoa está estupidamente jogando um gato no teto,Uma pessoa está jogando um gato no teto,Entailment,642,4.4
Uma mulher e três homens estão posando imóveis para uma foto,Três homens e uma mulher estão posando para uma foto,Entailment,643,4.5
Um homem está empinando em uma mountain bike,Um homem em uma bicicleta está andando em uma roda só,Entailment,644,4.7
Um homem está mostrando um macaco pequenino,"Um homem está segurando um animal, que é pequenino, em uma mão",Entailment,645,4.2
Uma mulher de blusa que é roxa está levando uma bicicleta entre duas colunas de pedra,Uma mulher de roupa roxa está levando uma bicicleta entre duas colunas de pedra,Entailment,646,5
Um homem está imprudentemente subindo em uma corda,Um homem está escalando para cima em uma corda,Entailment,647,4.3
O papel está sendo cortado com tesoura,Alguém está cortando algum papel com tesoura,Entailment,648,4.7
Dois meninos estão jogando um videogame,Uma dupla de meninos está jogando um videogame,Entailment,649,4.6
Um músico está tocando um teclado,Um homem está tocando teclado,Entailment,650,4.2
O avião sul-africano está voando no céu azul,Um avião está voando pelo ar,Entailment,651,3.9
Duas mulheres estão dançando e cantando em frente a muitas pessoas,As mulheres estão cantando e dançando,Entailment,652,4.5
Um homem está tocando o teclado com o nariz,O teclado está sendo tocado com o nariz por um homem,Entailment,653,4.7
Alguns furões estão escalando prateleira abaixo,Furões estão escalando prateleira abaixo,Entailment,654,4.9
Uma pessoa está dirigindo um jet ski nas ondas,A pessoa está andando de jet ski nas ondas,Entailment,655,5
A mulher está passeando com o cachorro,O cachorro está sendo levado para passear pela mulher,Entailment,656,4.8
O homem está praticando o violão,A pessoa está praticando tocar violão,Entailment,657,4.6
Uma jovem menina oriental está parada acima da multidão e está brincando com um cata-vento,Uma menina oriental jovem está de pé acima das pessoas e está brincando com um cata-vento,Entailment,658,4.7
O homem está cortando a fita na caixa,Um homem está cortando a fita na caixa,Entailment,659,5
Uma criança jovem está correndo por uma estrada de cascalho que está coberta com folhas mortas,Uma criança jovem está correndo por uma estrada feita de cascalho coberta de folhas mortas,Entailment,660,4.8
Uma mulher está falando em um dispositivo telefônico,Uma mulher está falando em um telefone,Entailment,661,4.7
O homem cercado de homens com uma câmera está vestindo um terno cinza e óculos,O homem cercado por fotógrafos está vestindo um terno cinza e óculos,Entailment,662,4.4
Duas crianças pequenas estão comendo enroladinho em um carrinho que é muito pequenino,Duas crianças jovens estão comendo enroladinhos,Entailment,663,4.5
O menino está aparando a grama perto da calçada com tesoura,O menino está cortando a grama da calçada com tesouras,Entailment,664,4.8
Um homem em uma motocicleta está andando sobre uma roda,Uma pessoa está realizando acrobacias em uma moto,Entailment,665,4.1
Os homens estão cuidadosamente colocando as malas no porta-malas de um carro,Os homens estão colocando as bagagens no porta-malas de um carro,Entailment,666,4.6
Cinco pessoas estão paradas com três cachorros no campo verde perto da estrada,Cinco pessoas estão paradas na grama com três cachorros,Entailment,667,4.3
Um homem está dançando,Algum homem está dançando,Entailment,668,4.6
Uma mulher está mergulhando um pitu na massa,Uma mulher está mergulhando um camarão na massa,Entailment,669,4.4
Uma mulher está fatiando uma cenoura,A cenoura está sendo fatiada por uma mulher,Entailment,670,4.8
A senhora está quebrando um ovo em uma tigela,A pessoa está quebrando ovos em uma tigela,Entailment,671,4.4
O homem está cuidadosamente alimentando a cobra com um rato,Um homem está alimentando um rato para a cobra,Entailment,672,4.6
Algum homem está parado no topo das rochas com nuvens atrás,Um homem está parado no topo das rochas com nuvens atrás,Entailment,673,4.7
Homens estão serrando,Alguns homens estão serrando,Entailment,674,4.8
A mulher está fazendo buracos na batata,A mulher está furando uma batata,Entailment,675,4.5
Um homem está misturando o conteúdo de uma tigela,O conteúdo de uma tigela está sendo misturado por um homem,Entailment,676,5
O menino está checando um calendário,Um menino está checando um calendário,Entailment,677,4.9
Uma pessoa está jogando um gato no teto,Um gato é jogado no teto por uma pessoa,Entailment,678,4.9
Um homem está abrindo uma porta,Uma porta está sendo aberta por um homem,Entailment,679,5
O cachorro está andando ao longo de uma ponte feita por um tronco sobre a água,Uma árvore está caindo sobre uma ponte feita sobre um rio que um cachorro está cruzando,Entailment,680,3.6
O cachorro castanho está correndo na neve,Um cachorro castanho está correndo na neve,Entailment,681,5
Um homem está despejando óleo dentro de uma sautese,Um homem está despejando óleo dentro de uma frigideira,Entailment,682,4.5
Um cachorro está correndo por um campo e está perseguindo uma bola,Um cachorro está correndo em direção a um brinquedo,Entailment,683,4.1
Uma mulher está fritando peixe,Peixe está sendo cozido por uma mulher,Entailment,684,4.5
Um homem em uma moto está virando uma esquina,Um homem em uma motocicleta está virando a esquina,Entailment,685,4.9
Um homem está tocando uma flauta de bambu,O homem está tocando uma flauta,Entailment,686,4.4
Alguém está digitando em um teclado,Alguém está digitando no teclado,Entailment,687,4.9
Um menino está estudando um calendário,Um menino está encarando um calendário,Entailment,688,4.8
A criança jovem está andando de motinho de três rodas pela calçada,Uma criança pequena está andando de motinho de plástico,Entailment,689,3.6
Um cara está brincando animadamente com uma bola de meia,Um cara está brincando animadamente com a bola de meia,Entailment,690,4.9
O homem está cantando e tocando o violão,Um homem está tocando um violão,Entailment,691,4.3
A mulher está cortando cebolas em cubos,Uma mulher está cortando uma cebola,Entailment,692,4.6
Os adultos e crianças estão sendo reunidos perto de assentos ao ar livre,Os adultos e as crianças estão sendo agrupados perto de assentos ao ar livre,Entailment,693,5
Um esquilo está correndo por aí em círculos,Um animal está correndo por aí em círculos,Entailment,694,4.6
Dois times estão entusiasmadamente jogando futebol de campo,Duas equipes estão jogando futebol de campo,Entailment,695,4.7
Um gato está comendo um pouco de milho,O gato está comendo um pouco de milho,Entailment,696,5
Um homem está cuspindo,Uma pessoa está cuspindo,Entailment,697,4.7
A cebola está sendo cortada pelo homem,Uma cebola está sendo cortada por um homem,Entailment,698,4.9
Um par de cachorros brancos estão correndo e pulando ao longo de uma praia,Dois cachorros estão brincando na praia,Entailment,699,4.4
Um homem está andando de moto pela cidade,Um homem está andando de motocicleta,Entailment,700,4.4
Um cachorro branco com manchas beges está correndo por um campo,Um cachorro branco com manchas beges está disparando por um campo,Entailment,701,4.7
Um homem em uma motocicleta está andando sobre uma roda,Um homem em uma motocicleta está fazendo um truque,Entailment,702,4.4
A senhora está medindo o tornozelo de outra mulher,Uma mulher está sendo medida por outra mulher,Entailment,703,4.4
O cachorro preto está disparando pela grama,O cachorro preto está correndo pela grama,Entailment,704,4.5
Um homem com uma camisa de time está enterrando uma bola em um jogo de basquete,A bola está sendo enterrada por um homem com uma camisa de time em um jogo de basquete,Entailment,705,4.9
Um homem fazendo exercícios está sendo derrubado,Um homem está fazendo exercícios,Entailment,706,4.1
Uma mulher está fritando comida,Uma mulher está fritando alguma comida,Entailment,707,4.7
Um avião voa rapidamente pelo ar,Um avião está voando pelo ar,Entailment,708,4.4
Uma mulher que está vestindo uma longa jaqueta preta e um chapéu marrom está andando através de um parque com muitas árvores florescendo,Uma mulher está vestindo um casaco longo e preto e um chapéu marrom e está caminhando por um parque com um monte de árvores florescendo,Entailment,709,4.7
Um homem jovem em uma bicicleta bmx está pulando de uma pirâmide de alvenaria,Um jovem homem em uma bicicleta bmx está pulando de uma pirâmide,Entailment,710,4.5
Um cachorro está correndo na praia,Um cachorro está correndo na costa do mar,Entailment,711,4.6
Um menino pequeno está tocando violão,Um violão está sendo tocado por um menino,Entailment,712,4.7
